Mine / Project / Field,State /,Operating,Processed,Ore Grades,,,,,,,,,,,,,Direct Shipping Ore,,,,,,,,Copper Concentrate,,,,,,Lead Concentrate,,,,,,Zinc Concentrate,,,,,,Nickel Concentrate,,,,,,,,,,,,,,,,,,,Other Concentrate,,,,,,,,Metals (Minerals) Extracted,,,,,,,Metals (Minerals) Extracted,,,,,,,Metals (Minerals) Extracted,,,,,,,Tailings,Dollied,Alluvial,Waste Rock,Extraction,Rock,,Status,Metals / Minerals
(in no particular order),Territory,Period,Mt ore,g/t Au,g/t Ag,%Cu,%Pb,%Zn,%Ni,%Co,%Sn,%WO3,%Fe,%Li,Other,Other,kt conc,%Cu,g/t Au,g/t Ag,%Pb,%Zn,Other,Other,kt conc,%Cu,g/t Au,g/t Ag,%Pb,%Zn,kt conc,%Pb,%Zn,g/t Ag,%Cu,g/t Au,kt conc,%Zn,%Pb,g/t Ag,%Cu,g/t Au,kt conc,%Ni,%Cu,%Co,g/t PGEs,g/t Au,g/t Ag,kt conc,%Sn,kt conc,%Sn,kt conc,%WO3,kt conc,%WO3,Mt conc,%Fe,kt conc,%Li,kt conc,%Cu,%Pb,%Zn,g/t Ag,g/t Au,Other,Other,t Au,t Ag,kt Cu,kt Pb,kt Zn,kt Ni,kt Co,Mt Fe ore,kt Sn,kt WO3,kt U3O8,Mt Mn conc,Mt brown coal,t PGEs,kt Sb,Mt PO4 rock,Mcarats,kt REO,kt Li,Other,Other,kg Au,kg Au,kg Au,Mt,Estimated,Estimated,,,
Sino-Cape Preston / Balmoral,WA,2013-2021#,114.1E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.1E,,,,,,,,,,,,,,,,,,,114.1,,,,,,,,,,,,,,,,,ND,Fe ore,,,Op,Fe
Cockatoo Island (1950s-70s),WA,1951-1980,27.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.3,65.06,,,,,,,,,,,,,,,,,,27.3,,,,,,,,,,,,,,,,,ND,,,,C&M,Fe
Koolan Island (1960s-70s),WA,1965-1983,35.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.4,66.64,,,,,,,,,,,,,,,,,,35.4,,,,,,,,,,,,,,,,,ND,,,,C&M,Fe
Koolan Island-Cockatoo Island (1980s-90s),WA,1984-1994,33.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.4,65.58,,,,,,,,,,,,,,,,,,33.4,,,,,,,,,,,,,,,,,ND,,,,C&M,Fe
Koolan Island (2000s),WA,"2006-2021@,#",27.6E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.6E,,,,,,,,,,,,,,,,,,,27.6,,,,,,,,,,,,,,,,,250,Fe ore,E,,Op,Fe
Hamersley Iron Group,WA,1966-2021#,"3,922.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,922.3",65.4E,,,,,,,,,,,,,,,,,,"3,922.3",,,,,,,,,,,,,,,,,ND,,,,Op,Fe
Channar,WA,1990-2021#,291.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.6,,,,,,,,,,,,,,,,,,,291.6,,,,,,,,,,,,,,,,,ND,,,,Op,Fe
Iron Valley-Wonmunna (Utah Point Hub),WA,2014-2021#,53.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.2,,,,,,,,,,,,,,,,,,,53.2,,,,,,,,,,,,,,,,,ND,,,,Op,Fe
Phil's Creek,WA,2013-2014,6.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.56,,,,,,,,,,,,,,,,,,,6.56,,,,,,,,,,,,,,,,,ND,,,,C&M,Fe
Spinifex Ridge,WA,2013-2014,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.97,,,,,,,,,,,,,,,,,,,1.97,,,,,,,,,,,,,,,,,ND,,,,C&M,Fe
Poondano,WA,2013,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,,,,,,,,,,,,,,,,,0.43,,,,,,,,,,,,,,,,,ND,,,,C&M,Fe
Carina-J4,WA,2011-2018,27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.9,,,,,,,,,,,,,,,,,,,27.9,,,,,,,,,,,,,,,,,ND,,,,C&M,Fe
Area C Joint Venture,WA,2003-2021#,811.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,811.2,,,,,,,,,,,,,,,,,,,811.2,,,,,,,,,,,,,,,,,ND,,,,Op,Fe
Mount Newman / Whaleback Group,WA,1969-2021#,"1,933.7",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,933.7",63.5E,,,,,,,,,,,,,,,,,,"1,933.7",,,,,,,,,,,,,,,,,ND,,,,Op,Fe
Wheelarra,WA,2014-2019,93.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.6,,,,,,,,,,,,,,,,,,,93.6,,,,,,,,,,,,,,,,,ND,,,,C&M,Fe
Jimblebar Group,WA,"1989-2021@,#",392.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.6,,,,,,,,,,,,,,,,,,,392.6,,,,,,,,,,,,,,,,,ND,,,,Op,Fe
Mount Goldsworthy Group,WA,1966-2013,253.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.4,63.0E,,,,,,,,,,,,,,,,,,253.4,,,,,,,,,,,,,,,,,ND,,,,Rehab,Fe
Yandi Joint Venture,WA,1992-2021#,"1,304.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,304.1",58.8E,,,,,,,,,,,,,,,,,,"1,304.1",,,,,,,,,,,,,,,,,ND,,,,Op,Fe
Fortescue Metals Group,WA,2008-2021#,"1,504.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,504.5",,,,,,,,,,,,,,,,,,,"1,504.5",,,,,,,,,,,,,,,,,"3,137",,,,Op,Fe
Roy Hill,WA,2015-2021#,311.7E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311.7E,,,,,,,,,,,,,,,,,,,311.7,,,,,,,,,,,,,,,,,ND,Fe ore,,,Op,Fe
Pardoo (Atlas),WA,2008-2014,6.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.16,,,,,,,,,,,,,,,,,,,6.16,,,,,,,,,,,,,,,,,ND,,,,C&M,Fe
Abydos,WA,2013-2017,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3,,,,,,,,,,,,,,,,,,,12.3,,,,,,,,,,,,,,,,,ND,,,,C&M,Fe
Mount Webber,WA,2014-2018#,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,ND,,,,Op,Fe
Wodgina (Fe ore),WA,2010-2017,31.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.7,,,,,,,,,,,,,,,,,,,31.7,,,,,,,,,,,,,,,,,ND,,,,C&M,Fe
Mount Dove,WA,2013-2014,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.24,,,,,,,,,,,,,,,,,,,2.24,,,,,,,,,,,,,,,,,ND,,,,C&M,Fe
Ridges,WA,2011-2015,6E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6E,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,ND,Fe ore,,,C&M,Fe
Frances Creek,NT,1967-2014@,21.7E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.7E,64E,,,,,,,,,,,,,,,,,,21.7,,,,,,,,,,,,,,,,,ND,Fe ore,,,C&M,Fe
Roper River,NT,"2012-2021@,#",4.0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0E,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,ND,Fe ore,,,Op,Fe
Groote Eylandt,NT,1955-2021#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"131,908",,,,,,,,,,,,,,,,,,,131.9,,,,,,,,,,,,,ND,,,,Op,Mn
Woodie Woodie,WA,1989-2021#,27.2E,,,,,,,,,,,,30.5E,%Mn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,997E",,,,,,47.8E,%Mn,,,,,,,,,,,,16.0,,,,,,,,,,,,,131.5,Mn conc,E,,Op,Mn
Bootu Creek,NT,"2006-2021@,#",23.7,,,,,,,,,,,,21.39,%Mn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,808",,,,,,36.52,%Mn,,,,,,,,,,,,9.81,,,,,,,,,,,,,240.2,,,,Op,Mn
Coobina,WA,1996-2013,7.74E,,,,,,,,,,,,23.1E,%Cr2O3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,115E",,,,,,40.5E,%Cr2O3 chromite,,,,,,,,,,,,,,,,,,,,"3,115",chromite conc,,,,10.8,Chromite conc,E,,C&M,Cr
Argyle,WA,1979-2020,313.7,,,,,,,,,,,,2.88,carats/t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,903.2,Mcarats,,,,,,,,,,,,,,,,,903.2,,,,,,,,963.3,,,,Rehab,diamonds
Merlin,NT,1999-2010@,2.60,,,,,,,,,,,,0.203,carats/t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.529,Mcarats,,,,,,,,,,,,,,,,,0.529,,,,,,,,ND,,,,C&M,diamonds
Ellendale,WA,1999-2015@,45.9,,,,,,,,,,,,0.054,carats/t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.50,Mcarats,,,,,,,,,,,,,,,,,2.50,,,,,,,,38.8,,E,,C&M,diamonds
Bow River,WA,1988-1995,24.9,,,,,,,,,,,,0.289,carats/t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.20,Mcarats,,,,,,,,,,,,,,,,,7.20,,,,,,,,ND,,,,Rehab,diamonds
Bow River Tailings,WA,1991-1995,0.412,,,,,,,,,,,,0.289,carats/t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.06,Mcarats,,,,,,,,,,,,,,,,,5.06,,,,,,,,ND,,,,Rehab,diamonds
Christmas Island,Federal,1998-2021#,,,,,,,,,,,,,13.6E,Mt PO4 rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.6E,Mt PO4 rock,,,,,,,,,,,,,,,,13.6,,,,,,,,,ND,PO4 rock,,,Op,phosphate
Phosphate Hill (QLD),QLD,1998-2021#,,,,,,,,,,,,,32.3E,Mt PO4 rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3E,Mt PO4 rock,,,,,,,,,,,,,,,,32.3,,,,,,,,,ND,PO4 rock,,,Op,phosphate
Phosphate Hill (VIC),VIC,1916-1926,,,,,,,,,,,,,0.016,Mt PO4 rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016,Mt PO4 rock,,,,,,,,,,,,,,,,0.016,,,,,,,,,ND,,,,Aban,phosphate
Hazelwood (Morwell),VIC,1956-2017,,,,,,,,,,,,,796.3,Mt brown coal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,796.3,Mt brown coal,,,,,,,,,,,,,796.3,,,,,,,,,,,,403,,E,,Rehab,brown coal
Loy Yang,VIC,1984-2021#,,,,,,,,,,,,,926.4,Mt brown coal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,926.4,Mt brown coal,,,,,,,,,,,,,926.4,,,,,,,,,,,,383,,E,,Op,brown coal
Yallourn Field,VIC,1924-2021#,,,,,,,,,,,,,"1,148.9",Mt brown coal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,148.9",Mt brown coal,,,,,,,,,,,,,"1,148.9",,,,,,,,,,,,704,,E,,Op,brown coal
Maddingley,VIC,1945-2021#,,,,,,,,,,,,,11.8,Mt brown coal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,Mt brown coal,,,,,,,,,,,,,11.8,,,,,,,,,,,,11.6,,E,,Op,brown coal
Anglesea,VIC,1959-2014,,,,,,,,,,,,,50.2,Mt brown coal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.2,Mt brown coal,,,,,,,,,,,,,50.2,,,,,,,,,,,,164,,E,,Rehab,brown coal
Star Collieries,VIC,1946-1978,,,,,,,,,,,,,1.43,Mt brown coal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43,Mt brown coal,,,,,,,,,,,,,1.43,,,,,,,,,,,,ND,,,,Aban,brown coal
Lucifer Colliery,VIC,1946-1952,,,,,,,,,,,,,0.247,Mt brown coal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.247,Mt brown coal,,,,,,,,,,,,,0.247,,,,,,,,,,,,ND,,,,Aban,brown coal
"Otways (Benwrrin, Wensley, Globrite)",VIC,1901-1959@,,,,,,,,,,,,,2.97,Mt brown coal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.97,Mt brown coal,,,,,,,,,,,,,2.97,,,,,,,,,,,,ND,,,,Aban,brown coal
Bacchus Marsh Miscellaneous,VIC,1949-1965@,,,,,,,,,,,,,0.087,Mt brown coal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,Mt brown coal,,,,,,,,,,,,,0.087,,,,,,,,,,,,ND,,,,Aban,brown coal
Latrobe Valley Miscellaneous,VIC,1864-1949@,,,,,,,,,,,,,0.091,Mt brown coal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.091,Mt brown coal,,,,,,,,,,,,,0.091,,,,,,,,,,,,ND,,,,Aban,brown coal
Queensland Alumina Ltd (QAL) (alumina),QLD,1967-2021#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.9,Mt alumina,,,,,,,,,,,,,,,,,,,,159.9,Mt alumina,,,,ND,,,,Op,alumina
Bell Bay (alumina),QLD,1955-1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.414E,Mt alumina,,,,,,,,,,,,,,,,,,,,37.9,Mt alumina,,,,ND,,,,Closed,alumina
Yarwun (alumina),QLD,2004-2021#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9,Mt alumina,,,,,,,,,,,,,,,,,,,,37.9,Mt alumina,,,,ND,,,,Op,alumina
Weipa (bauxite),QLD,2004-2021#,762.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,762.6,Mt bauxite,,,,ND,,,,Op,alumina
Darling Ranges (all mines; bauxite),WA,1959-2021#,"1,488.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,488.4",Mt bauxite,,,,ND,,,,Op,bauxite
Gove (bauxite & alumina),NT,1971-2021#,318.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.4E,Mt alumina,,,,,,,,,,,,,,,,,,,,63.4,Mt alumina,,,,ND,Alumina,,,Op,bauxite-alumina
Kwinana (alumina),WA,1963-2021#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,67.3E,Mt alumina,,,,,,,,,,,,,,,,,,,,67.3,Mt alumina,,,,ND,Alumina,,,Op,alumina
Worsley (alumina),WA,1984-2021#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.9E,Mt alumina,,,,,,,,,,,,,,,,,,,,105.9,Mt alumina,,,,ND,Alumina,,,Op,alumina
Pinjarra (alumina),WA,1972-2021#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.8E,Mt alumina,,,,,,,,,,,,,,,,,,,,142.8,Mt alumina,,,,ND,Alumina,,,Op,alumina
Wagerup (alumina),WA,1984-2021#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.9E,Mt alumina,,,,,,,,,,,,,,,,,,,,73.9,Mt alumina,,,,ND,Alumina,,,Op,alumina
Tartana,QLD,2010-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.81,,,,,,,,,,,,,,,,,,,,,,ND,,,,C&M,Cu
Victorian Osmiridium,VIC,1911-1913@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.967,,,,,,,,,,,,,,,0.967,,,,,,,,,,,ND,,,,Aban,PGE
Tasmanian Osmiridium,TAS,1910-1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0097,,,,,,,,,,,,,,,0.0097,,,,,,,,,,,ND,,,,Aban,PGE
New South Wales Placer Platinum,NSW,1894-1966@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.660,,,,,,,,,,,,,,,0.660,,,,,,,,,,,ND,,,,Aban,PGE
Pilgangoora-Pilbara Minerals,WA,2018-2021#,4.67,,,,,,,,,,,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716.0,2.8E,,,,,,,,,,,,,,,,,,,,,,,,,,,22.3,,,,,,25.7,,,,Op,Li
Pilgangoora-Altura Mining,WA,2018-2020,2.80,,,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333.7,2.7E,,,,,,,,,,,,,,,,,,,,,,,,,,,9.15,,,,,,13.6,,,,C&M,Li
Mount Cattlin,WA,"2010-2021@,#",8.30,,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,962.2,2.7E,,,,,,,,,,,,,,,,,,,,,,,,,,,25.8,,,,,,53.7,,,,Op,Li
Mount Marion,WA,2016-2021#,12.3,,,,,,,,,,,0.55E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,895",2.5E,,,,,,,,,,,,,,,,,,,,,,,,,,,46.7,,,,,,80.2,,E,,Op,Li
Wodgina (Li),WA,2017-2019,6.89,,,,,,,,,,,1.6E,,,"5,168",,,,,,2.1E,%Li2O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.0,,,,,,9.9,,E,,C&M,Li
Bald Hill (Ta),WA,2001-2005,1.35,,,,,,,,,,,,434,g/t Ta2O5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.10,t Ta2O5 conc,,,,,,,,,,,,,,,,,,,,,t Ta2O5,,,,3.91,,,,C&M,Ta
Bald Hill (Li-Ta),WA,2018-2019,1.60,,,,,,,,,,,0.39,271,g/t Ta2O5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.7,6.1E,,,,,,,851.6,t Ta2O5 conc,,,,,,,,,,,,,,,,,,,4.11,76.5,t Ta2O5,,,,31.9,,E,,C&M,Li-Ta
Maranboy,NT,1913-1952@,0.05,,,,,,,,1.7E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.28,65E,,,,,,,,,,,,,,,,,,,,,,,,,,,0.83,,,,,,,,,,,,,,,,ND,Sn,,,Aban,Sn
Mount Wells,NT,1879-1929@,0.10E,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56,65E,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,ND,Sn,,,Aban,Sn
Yerranderie,NSW,1884-1953@,0.134,0.134,"2,596",,22.2,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.612,347.2,,29.73,0.334,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Pb-Ag-Zn-Au
Kyloe,NSW,1901-1914@,0.085,,,5.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.70,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu
Kangiara,NSW,1902-1921@,0.036,2.86,366,3.46,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.102,13.1,1.24,7.04,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Pb-Cu-Ag-Au
Cangai,NSW,1901-1914@,0.062,16.0,20.8,8.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.987,1.28,5.43,,,,,,,,,,,,,,,,,,,,,,ND,,,,Aban,Cu-Au-Ag
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tin Oxide (Lode),,Tin Oxide (Alluvial),,Wolfram / Scheelite,,Hand-Picked Wolfram,,Iron Ore,,Spodumene (Lithium),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ore Processed,,,,,,,,,,,,,,Direct Shipping Ore,,,,,,,,Copper Concentrate,,,,,,Lead Concentrate,,,,,,Zinc Concentrate,,,,,,Nickel Concentrate,,,,,,,,,,,,,,,,,,,Other Concentrate,,,,,,,,Metals Extracted,,,,,,,,,,,,,,,,,,,,,Tailings,Dollied,Alluvial,Waste Rock,,,,,
OLD GOLD FIELDS: WA,,,Mt ore,g/t Au,g/t Ag,%Cu,%Pb,%Zn,%Ni,%Co,%Sn,%WO3,%Fe,%Fe,Other,Other,t conc,%Cu,g/t Au,g/t Ag,%Pb,%Zn,Other,Other,t conc,%Cu,g/t Au,,,g/t Ag,t conc,%Pb,%Zn,g/t Ag,%Cu,g/t Au,t conc,%Zn,%Pb,g/t Ag,%Cu,g/t Au,t conc,%Ni,%Cu,%Co,g/t PGEs,g/t Au,g/t Ag,kt conc,%Sn,kt conc,%Sn,kt conc,%WO3,kt conc,%WO3,kt conc,%Fe,kt conc,%Li,kt conc,%Cu,%Pb,%Zn,g/t Au,g/t Ag,Other,Other,t Au,t Ag,kt Cu,kt Pb,kt Zn,kt Ni,kt Co,Mt Fe ore,kt Sn,kt WO3,kt U3O8,Mt Mn conc,Mt brown coal,t PGEs,kt Sb,Mt PO4 rock,Mcarats,kt REO,,Other,Other,kg Au,kg Au,kg Au,Mt,,,,,
Kalgoorlie-East Coolgardie,WA,1893-1987,124.3,10.6,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,317.9",220.0,,,,,,,,,,,,,,,,,,,,10.17,1.371,0.995,ND,,,,,
Coolgardie,WA,1893-1987,4.436,12.6,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.89,3.521,,,,,,,,,,,,,,,,,,,,1.104,0.804,0.637,ND,,,,,
Kunanalling,WA,1893-1987,0.570,16.8,0.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.561,0.025,,,,,,,,,,,,,,,,,,,,0.038,0.308,0.080,ND,,,,,
Southern Cross,WA,1887-1987,12.29,7.03,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.64,7.619,,,,,,,,,,,,,,,,,,,,2.366,0.445,0.058,ND,,,,,
Dundas-Norseman,WA,1892-1987,2.58,12.8,4.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,10.81,,,,,,,,,,,,,,,,,,,,0.467,0.538,0.084,ND,,,,,
Lawlers-Great Eastern,WA,1896-1987,3.051,12.1,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.17,0.966,,,,,,,,,,,,,,,,,,,,0.680,0.285,0.231,ND,,,,,
Black Range,WA,1904-1987,2.124,14.3,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.48,0.725,,,,,,,,,,,,,,,,,,,,0.325,0.582,0.140,ND,,,,,
Wiluna,WA,1910-1987,9.435,5.96,0.051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.20,0.484,,,,,,,,,,,,,,,,,,,,2.532,0.024,0.023,ND,,,,,
